id,name,rollNo,email,phone,gender,age,department,year,section,cgpa,address,city,state,country
1,Jessie Towne,ROLL1001,Lilly.Altenwerth@hotmail.com,728-933-6303,Other,23,CIVIL,3,D,6.79,18995 Laurie Pike,East Berniemouth,Vermont,India
2,Krystal Kreiger,ROLL1002,Irma_Feil@yahoo.com,236-788-9228 x6994,Female,19,EEE,4,D,6.05,90926 Bernhard Garden,Crawfordfort,Pennsylvania,India
3,Miss Tasha Abshire,ROLL1003,Alan0@yahoo.com,287.839.6208,Other,18,MECH,1,B,9.22,48648 O'Keefe Circle,North Stanton,Michigan,India
4,Joy Bednar I,ROLL1004,Marcus_Murazik@hotmail.com,784.686.5877 x8455,Other,18,ECE,4,D,9.62,44044 E Central Avenue,South Eliasside,Wyoming,India
5,Marianne Rice,ROLL1005,Elbert28@yahoo.com,308.452.2110 x058,Female,18,ECE,3,D,6.36,21046 Golden Corners,Predovicville,Nebraska,India
6,Stanley Crona,ROLL1006,Lauryn.Bernhard@gmail.com,(627) 921-2549 x69634,Other,24,ECE,3,B,7.44,5468 Market Street,Littlefort,Virginia,India
7,Robert Hammes,ROLL1007,Sandy.Herman@hotmail.com,(985) 628-7613,Other,24,EEE,3,C,8.21,37911 Post Road,Skylafort,Michigan,India
8,Miriam Robel,ROLL1008,Raoul0@gmail.com,1-401-743-6647 x2065,Female,18,IT,4,B,6.43,9956 Airport Road,Lake Angelica,Iowa,India
9,Ms. Deanna Prohaska,ROLL1009,Dewayne.Klocko3@hotmail.com,626-469-7708 x2909,Other,21,CIVIL,1,D,5.72,592 Koss Greens,East Burniceside,Colorado,India
10,Mr. Tracy Strosin,ROLL1010,Jalyn61@hotmail.com,799-454-8776 x7275,Female,20,ECE,4,B,7.10,3061 Kshlerin Plain,Redwood City,Indiana,India
11,Deborah Breitenberg,ROLL1011,Isabelle.Casper95@yahoo.com,(370) 480-2913 x063,Other,19,ECE,4,A,8.10,353 Macejkovic Coves,Skilesborough,Arkansas,India
12,Kathryn Weissnat,ROLL1012,Dino.Hauck60@hotmail.com,1-578-868-3344 x740,Other,19,CIVIL,1,D,9.39,5606 Ash Street,New Ruben,Wisconsin,India
13,Mable Thiel,ROLL1013,Manuel.Frami@yahoo.com,980.494.4945,Other,20,ECE,2,B,9.50,65730 Collier Estate,Dibberthaven,New Jersey,India
14,Tara Deckow,ROLL1014,Estelle80@yahoo.com,574-805-2653 x383,Male,25,CSE,2,B,7.47,302 Salisbury Road,Fort Laura,Arkansas,India
15,Ollie Welch,ROLL1015,Bernie.Windler@yahoo.com,686-524-9239 x59468,Male,18,IT,1,B,8.44,34835 Constantin Dam,Simonisboro,Illinois,India
16,Donald Schroeder,ROLL1016,Hailie21@yahoo.com,(793) 943-4760,Female,23,CSE,2,C,7.80,206 Cedar Road,North Gaetano,Florida,India
17,Randal DuBuque,ROLL1017,Kristy.Huel54@hotmail.com,1-345-245-8763 x4813,Female,21,ECE,2,C,9.38,117 Gutkowski Shoals,Marvinland,Maine,India
18,Willis Herzog,ROLL1018,Abelardo_Corkery37@gmail.com,889.426.9215 x836,Female,18,CSE,2,A,7.13,415 Fore Street,Lake Garrisonhaven,West Virginia,India
19,Elbert Klocko,ROLL1019,Shany.Bechtelar@yahoo.com,481.287.9132,Other,22,CSE,2,D,8.75,87667 Anika Mews,West Dariana,Michigan,India
20,Jon Hirthe,ROLL1020,Abby83@yahoo.com,647.918.5417 x0629,Male,18,ECE,3,C,6.94,956 Paolo Courts,Buffalo Grove,Utah,India
21,Harry Dibbert,ROLL1021,Lucious.Leffler@yahoo.com,906-982-6468,Male,22,EEE,3,C,5.86,568 Mill Lane,Sallyberg,Wisconsin,India
